性别,投保年龄,保单年度,年龄,年交保费,累计保费,年金,累计红利,现金价值
男,0,1,1,10000,10000,0,0,3898.4
男,0,2,2,10000,20000,0,0,8663.6
男,0,3,3,10000,30000,0,0,18163.2
男,0,4,4,10000,40000,0,0,31667.2
男,0,5,5,10000,50000,1175.9,0,47909
男,0,6,6,10000,60000,1175.9,0,58942.1
男,0,7,7,10000,60000,1175.9,0,58944.9
男,0,8,8,10000,60000,1175.9,0,58947.8
男,0,9,9,10000,60000,1175.9,0,58950.8
男,0,10,10,10000,60000,1175.9,0,58953.9
男,0,11,11,10000,60000,1175.9,0,58957
男,0,12,12,10000,60000,1175.9,0,58960.1
男,0,13,13,10000,60000,1175.9,0,58963.3
男,0,14,14,10000,60000,1175.9,0,58966.6
男,0,15,15,10000,60000,1175.9,0,58969.9
男,0,16,16,10000,60000,1175.9,0,58973.3
男,0,17,17,10000,60000,1175.9,0,58976.7
男,0,18,18,10000,60000,1175.9,0,58980.3
男,0,19,19,10000,60000,1175.9,0,58983.8
男,0,20,20,10000,60000,1175.9,0,58987.5
男,0,21,21,10000,60000,1175.9,0,58991.2
男,0,22,22,10000,60000,1175.9,0,58994.9
男,0,23,23,10000,60000,1175.9,0,58998.8
男,0,24,24,10000,60000,1175.9,0,59002.7
男,0,25,25,10000,60000,1175.9,0,59006.7
男,0,26,26,10000,60000,1175.9,0,59010.7
男,0,27,27,10000,60000,1175.9,0,59014.9
男,0,28,28,10000,60000,1175.9,0,59019.1
男,0,29,29,10000,60000,1175.9,0,59023.3
男,0,30,30,10000,60000,1175.9,0,59027.7
男,0,31,31,10000,60000,1175.9,0,59032.1
男,0,32,32,10000,60000,1175.9,0,59036.6
男,0,33,33,10000,60000,1175.9,0,59041.2
男,0,34,34,10000,60000,1175.9,0,59045.9
男,0,35,35,10000,60000,1175.9,0,59050.6
男,0,36,36,10000,60000,1175.9,0,59055.4
男,0,37,37,10000,60000,1175.9,0,59060.3
男,0,38,38,10000,60000,1175.9,0,59065.3
男,0,39,39,10000,60000,1175.9,0,59070.3
男,0,40,40,10000,60000,1175.9,0,59075.4
男,0,41,41,10000,60000,1175.9,0,59080.6
男,0,42,42,10000,60000,1175.9,0,59085.8
男,0,43,43,10000,60000,1175.9,0,59091.2
男,0,44,44,10000,60000,1175.9,0,59096.6
男,0,45,45,10000,60000,1175.9,0,59102.1
男,0,46,46,10000,60000,1175.9,0,59107.6
男,0,47,47,10000,60000,1175.9,0,59113.2
男,0,48,48,10000,60000,1175.9,0,59118.9
男,0,49,49,10000,60000,1175.9,0,59124.7
男,0,50,50,10000,60000,1175.9,0,59130.5
男,0,51,51,10000,60000,1175.9,0,59136.4
男,0,52,52,10000,60000,1175.9,0,59142.3
男,0,53,53,10000,60000,1175.9,0,59148.3
男,0,54,54,10000,60000,1175.9,0,59154.4
男,0,55,55,10000,60000,1175.9,0,59160.6
男,0,56,56,10000,60000,1175.9,0,59166.8
男,0,57,57,10000,60000,1175.9,0,59173.1
男,0,58,58,10000,60000,1175.9,0,59179.5
男,0,59,59,10000,60000,1175.9,0,59185.9
男,0,60,60,10000,60000,1175.9,0,59192.4
男,0,61,61,10000,60000,1175.9,0,59199
男,0,62,62,10000,60000,1175.9,0,59205.6
男,0,63,63,10000,60000,1175.9,0,59212.3
男,0,64,64,10000,60000,1175.9,0,59219.1
男,0,65,65,10000,60000,1175.9,0,59225.9
男,0,66,66,10000,60000,1175.9,0,59232.9
男,0,67,67,10000,60000,1175.9,0,59239.9
男,0,68,68,10000,60000,1175.9,0,59246.9
男,0,69,69,10000,60000,1175.9,0,59254.1
男,0,70,70,10000,60000,1175.9,0,59261.2
男,0,71,71,10000,60000,1175.9,0,59268.4
男,0,72,72,10000,60000,1175.9,0,59275.5
男,0,73,73,10000,60000,1175.9,0,59282.6
男,0,74,74,10000,60000,1175.9,0,59289.5
男,0,75,75,10000,60000,1175.9,0,59296.3
男,0,76,76,10000,60000,1175.9,0,59302.8
男,0,77,77,10000,60000,1175.9,0,59309.1
男,0,78,78,10000,60000,1175.9,0,59315.1
男,0,79,79,10000,60000,1175.9,0,59320.8
男,0,80,80,10000,60000,1175.9,0,59326.3
男,0,81,81,10000,60000,1175.9,0,59331.4
男,0,82,82,10000,60000,1175.9,0,59336.2
男,0,83,83,10000,60000,1175.9,0,59340.8
男,0,84,84,10000,60000,1175.9,0,59345.1
男,0,85,85,10000,60000,1175.9,0,59349.2
男,0,86,86,10000,60000,1175.9,0,59353.1
男,0,87,87,10000,60000,1175.9,0,59356.8
男,0,88,88,10000,60000,1175.9,0,59360.3
男,0,89,89,10000,60000,1175.9,0,59363.7
男,0,90,90,10000,60000,1175.9,0,59367
男,0,91,91,10000,60000,1175.9,0,59370.1
男,0,92,92,10000,60000,1175.9,0,59373.1
男,0,93,93,10000,60000,1175.9,0,59376
男,0,94,94,10000,60000,1175.9,0,59378.7
男,0,95,95,10000,60000,1175.9,0,59381.2
男,0,96,96,10000,60000,1175.9,0,59383.7
男,0,97,97,10000,60000,1175.9,0,59386
男,0,98,98,10000,60000,1175.9,0,59388.2
男,0,99,99,10000,60000,1175.9,0,59390.2
男,0,100,100,10000,60000,1175.9,0,59392.2
