性别,投保年龄,保单年度,年龄,年交保费,累计保费,年金,累计红利,现金价值
男,0,1,1,10000,10000,0,17.11,1062.8
男,0,2,2,10000,20000,0,70.52,2775.5
男,0,3,3,10000,30000,0,339.51,10963.5
男,0,4,4,10000,40000,0,924.65,28276.5
男,0,5,5,0,40000,0,1811.34,38601.9
男,0,6,6,0,40000,0,2409.08,39277.2
男,0,7,7,0,40000,0,3035.07,39964.5
男,0,8,8,0,40000,0,3690.45,40663.9
男,0,9,9,0,40000,0,4376.22,41375.5
男,0,10,10,0,40000,0,5093.61,42099.6
男,0,11,11,0,40000,0,5843.71,42836.3
男,0,12,12,0,40000,0,6627.75,43586
男,0,13,13,0,40000,0,7447.01,44348.7
男,0,14,14,0,40000,0,8302.73,45124.8
男,0,15,15,0,40000,0,9196.34,45914.5
男,0,16,16,0,40000,0,10129.11,46718
男,0,17,17,0,40000,0,11102.48,47535.6
男,0,18,18,0,40000,0,12118.04,48367.4
男,0,19,19,0,40000,0,13177.18,49208.8
男,0,20,20,0,40000,0,14281.48,50065
男,0,21,21,0,40000,0,15432.5,50936.3
男,0,22,22,0,40000,0,16631.96,51823
男,0,23,23,0,40000,0,17881.51,52725.4
男,0,24,24,0,40000,0,19183.21,53643.7
男,0,25,25,0,40000,0,20538.6,54578.4
男,0,26,26,0,40000,0,21949.86,55529.6
男,0,27,27,0,40000,0,23418.76,56497.7
男,0,28,28,0,40000,0,24947.51,57483.1
男,0,29,29,0,40000,0,26538.12,58486
男,0,30,30,0,40000,0,28192.95,59506.9
男,0,31,31,0,40000,0,29914.15,60546
男,0,32,32,0,40000,0,31704.26,61603.8
男,0,33,33,0,40000,0,33565.39,62680.7
男,0,34,34,0,40000,0,35500.22,63777.1
男,0,35,35,0,40000,0,37511.38,64893.2
男,0,36,36,0,40000,0,39601.56,66028.8
男,0,37,37,0,40000,0,41773.33,67184.3
男,0,38,38,0,40000,0,44029.75,68360
男,0,39,39,0,40000,0,46373.77,69556.3
男,0,40,40,0,40000,0,48808.46,70773.6
男,0,41,41,0,40000,0,51336.69,72012.1
男,0,42,42,0,40000,0,53961.96,73272.3
男,0,43,43,0,40000,0,56687.61,74554.6
男,0,44,44,0,40000,0,59517.09,75859.3
男,0,45,45,0,40000,0,62453.95,77186.8
男,0,46,46,0,40000,0,65501.87,78537.6
男,0,47,47,0,40000,0,68664.63,79912
男,0,48,48,0,40000,0,71946.42,81310.4
男,0,49,49,0,40000,0,75351.28,82733.3
男,0,50,50,0,40000,0,78883.05,84181.2
男,0,51,51,0,40000,0,82546.32,85654.3
男,0,52,52,0,40000,0,86345.84,87153.3
男,0,53,53,0,40000,0,90285.84,88678.4
男,0,54,54,0,40000,0,94371.36,90230.3
男,0,55,55,0,40000,0,98607.24,91809.3
男,0,56,56,0,40000,0,102998.85,93416
男,0,57,57,0,40000,0,107550.95,95050.7
男,0,58,58,0,40000,0,112269.65,96714.1
男,0,59,59,0,40000,0,117160,98406.6
男,0,60,60,0,40000,0,122228.5,100128.7
男,0,61,61,0,40000,0,127480.54,101880.9
男,0,62,62,0,40000,0,132922.11,103663.8
男,0,63,63,0,40000,0,138560.74,105477.9
男,0,64,64,0,40000,0,144401.89,107323.7
男,0,65,65,0,40000,0,150453.09,109201.8
男,0,66,66,0,40000,0,156721.11,111112.8
男,0,67,67,0,40000,0,163213.43,113057.2
男,0,68,68,0,40000,0,169937.78,115035.7
男,0,69,69,0,40000,0,176901.06,117048.7
男,0,70,70,0,40000,0,184111.99,119097
男,0,71,71,0,40000,0,191578.99,121181.1
男,0,72,72,0,40000,0,199310.22,123301.7
男,0,73,73,0,40000,0,207314.05,125459.3
男,0,74,74,0,40000,0,215600.87,127654.7
男,0,75,75,0,40000,0,224179.61,129888.5
男,0,76,76,0,40000,0,233059.45,132161.4
男,0,77,77,0,40000,0,242250.49,134474.1
男,0,78,78,0,40000,0,251763.74,136827.1
男,0,79,79,0,40000,0,261609.29,139221.3
男,0,80,80,0,40000,0,271798.81,141657.4
男,0,81,81,0,40000,0,282343.02,144136.1
男,0,82,82,0,40000,0,293254.3,146658.1
男,0,83,83,0,40000,0,304544.04,149224.3
男,0,84,84,0,40000,0,316225.36,151835.2
男,0,85,85,0,40000,0,328311.83,154491.8
男,0,86,86,0,40000,0,340815.15,157194.9
男,0,87,87,0,40000,0,353750.4,159945.1
男,0,88,88,0,40000,0,367130.82,162743.5
男,0,89,89,0,40000,0,380972.43,165590.7
男,0,90,90,0,40000,0,395289.26,168487.6
男,0,91,91,0,40000,0,410097.46,171435.2
男,0,92,92,0,40000,0,425412.77,174434.2
男,0,93,93,0,40000,0,441253.18,177485.5
男,0,94,94,0,40000,0,457633.66,180590.2
男,0,95,95,0,40000,0,474574.11,183749
男,0,96,96,0,40000,0,492091.39,186962.9
男,0,97,97,0,40000,0,510204.68,190232.8
男,0,98,98,0,40000,0,528933.79,193559.8
男,0,99,99,0,40000,0,548299.07,196944.8
男,0,100,100,0,40000,0,568320.52,200388.7
男,0,101,101,0,40000,0,589019.69,203892.7
男,0,102,102,0,40000,0,610419.85,207457.7
男,0,103,103,0,40000,0,632542.84,211084.8
男,0,104,104,0,40000,0,655411.13,214775
男,0,105,105,0,40000,0,679051.1,218529.5
男,0,106,106,0,40000,0,0,0
男,1,1,2,10000,10000,0,17.54,1083.9
男,1,2,3,10000,20000,0,71.97,2830.3
男,1,3,4,10000,30000,0,341.83,11032.4
男,1,4,5,10000,40000,0,926.98,28335
男,1,5,6,0,40000,0,1812.05,38603.2
男,1,6,7,0,40000,0,2409.86,39278.6
男,1,7,8,0,40000,0,3035.94,39965.9
男,1,8,9,0,40000,0,3691.4,40665.3
男,1,9,10,0,40000,0,4377.26,41377
男,1,10,11,0,40000,0,5094.74,42101
男,1,11,12,0,40000,0,5844.93,42837.8
男,1,12,13,0,40000,0,6629.08,43587.5
男,1,13,14,0,40000,0,7448.44,44350.3
男,1,14,15,0,40000,0,8304.27,45126.4
男,1,15,16,0,40000,0,9197.99,45916.1
男,1,16,17,0,40000,0,10130.87,46719.6
男,1,17,18,0,40000,0,11104.37,47537.2
男,1,18,19,0,40000,0,12120.06,48363.8
男,1,19,20,0,40000,0,13179.22,49204.9
男,1,20,21,0,40000,0,14283.54,50060.8
男,1,21,22,0,40000,0,15434.59,50931.9
男,1,22,23,0,40000,0,16634.06,51818.3
男,1,23,24,0,40000,0,17883.62,52720.4
男,1,24,25,0,40000,0,19185.33,53638.5
男,1,25,26,0,40000,0,20540.72,54572.9
男,1,26,27,0,40000,0,21951.98,55523.9
男,1,27,28,0,40000,0,23420.87,56491.7
男,1,28,29,0,40000,0,24949.61,57476.8
男,1,29,30,0,40000,0,26540.19,58479.4
男,1,30,31,0,40000,0,28195,59500
男,1,31,32,0,40000,0,29916.18,60538.9
男,1,32,33,0,40000,0,31706.25,61596.4
男,1,33,34,0,40000,0,33567.33,62673.1
男,1,34,35,0,40000,0,35502.12,63769.3
男,1,35,36,0,40000,0,37513.23,64885.3
男,1,36,37,0,40000,0,39603.36,66020.8
男,1,37,38,0,40000,0,41775.08,67176.1
男,1,38,39,0,40000,0,44031.43,68351.7
男,1,39,40,0,40000,0,46375.4,69547.8
男,1,40,41,0,40000,0,48810.01,70764.9
男,1,41,42,0,40000,0,51338.18,72003.3
男,1,42,43,0,40000,0,53963.37,73263.4
男,1,43,44,0,40000,0,56688.94,74545.5
男,1,44,45,0,40000,0,59518.33,75850
男,1,45,46,0,40000,0,62455.11,77177.4
男,1,46,47,0,40000,0,65502.93,78528
男,1,47,48,0,40000,0,68665.58,79902.2
男,1,48,49,0,40000,0,71947.26,81300.5
男,1,49,50,0,40000,0,75352.01,82723.2
男,1,50,51,0,40000,0,78883.66,84170.9
男,1,51,52,0,40000,0,82546.8,85643.9
男,1,52,53,0,40000,0,86346.2,87142.6
男,1,53,54,0,40000,0,90286.06,88667.6
男,1,54,55,0,40000,0,94371.44,90219.3
男,1,55,56,0,40000,0,98607.16,91798.1
男,1,56,57,0,40000,0,102998.61,93404.6
男,1,57,58,0,40000,0,107550.55,95039.1
男,1,58,59,0,40000,0,112269.06,96702.3
男,1,59,60,0,40000,0,117159.24,98394.5
男,1,60,61,0,40000,0,122227.54,100116.4
男,1,61,62,0,40000,0,127478.95,101868.4
男,1,62,63,0,40000,0,132920.75,103651.1
男,1,63,64,0,40000,0,138559.16,105465
男,1,64,65,0,40000,0,144400.08,107310.6
男,1,65,66,0,40000,0,150451.04,109188.5
男,1,66,67,0,40000,0,156718.81,111099.2
男,1,67,68,0,40000,0,163210.87,113043.4
男,1,68,69,0,40000,0,169934.43,115021.6
男,1,69,70,0,40000,0,176897.95,117034.4
男,1,70,71,0,40000,0,184108.57,119082.4
男,1,71,72,0,40000,0,191574.71,121166.2
男,1,72,73,0,40000,0,199305.61,123286.5
男,1,73,74,0,40000,0,207309.68,125443.9
男,1,74,75,0,40000,0,215596.13,127639
男,1,75,76,0,40000,0,224173.89,129872.5
男,1,76,77,0,40000,0,233053.35,132145.1
男,1,77,78,0,40000,0,242243.97,134457.4
男,1,78,79,0,40000,0,251756.8,136810.2
男,1,79,80,0,40000,0,261602.55,139204.1
男,1,80,81,0,40000,0,271790.94,141639.8
男,1,81,82,0,40000,0,282334.67,144118.2
男,1,82,83,0,40000,0,293245.45,146639.9
男,1,83,84,0,40000,0,304534.67,149205.6
男,1,84,85,0,40000,0,316215.45,151816.2
男,1,85,86,0,40000,0,328300.6,154472.4
男,1,86,87,0,40000,0,340803.31,157175.1
男,1,87,88,0,40000,0,353737.94,159924.9
男,1,88,89,0,40000,0,367117.72,162722.8
男,1,89,90,0,40000,0,380957.84,165569.6
男,1,90,91,0,40000,0,395273.97,168466.1
男,1,91,92,0,40000,0,410081.42,171413.2
男,1,92,93,0,40000,0,425395.97,174411.7
男,1,93,94,0,40000,0,441234.7,177462.6
男,1,94,95,0,40000,0,457614.34,180566.6
男,1,95,96,0,40000,0,474553,183724.9
