性别,投保年龄,保单年度,年龄,年交保费,累计保费,年金,累计红利,现金价值
男,0,1,1,10000,10000,0,14.25,954.1
男,0,2,2,10000,20000,0,63,2465.1
男,0,3,3,10000,30000,0,312.99,9576.3
男,0,4,4,10000,40000,0,867.48,24429.8
男,0,5,5,10000,50000,0,1851.25,47245.4
男,0,6,6,0,50000,0,2571.36,48071.8
男,0,7,7,0,50000,0,3325.7,48912.8
男,0,8,8,0,50000,0,4115.62,49768.6
男,0,9,9,0,50000,0,4942.36,50639.6
男,0,10,10,0,50000,0,5807.39,51525.8
男,0,11,11,0,50000,0,6712.06,52427.5
男,0,12,12,0,50000,0,7657.86,53345
男,0,13,13,0,50000,0,8646.31,54278.5
男,0,14,14,0,50000,0,9678.95,55228.4
男,0,15,15,0,50000,0,10757.49,56194.9
男,0,16,16,0,50000,0,11883.49,57178.3
男,0,17,17,0,50000,0,13058.69,58178.9
男,0,18,18,0,50000,0,14285.02,59197
男,0,19,19,0,50000,0,15564.16,60226.3
男,0,20,20,0,50000,0,16898.03,61273.6
男,0,21,21,0,50000,0,18288.51,62339.3
男,0,22,22,0,50000,0,19737.69,63423.9
男,0,23,23,0,50000,0,21247.57,64527.6
男,0,24,24,0,50000,0,22820.65,65650.9
男,0,25,25,0,50000,0,24458.79,66794
男,0,26,26,0,50000,0,26164.66,67957.4
男,0,27,27,0,50000,0,27940.37,69141.5
男,0,28,28,0,50000,0,29788.63,70346.6
男,0,29,29,0,50000,0,31711.86,71573.1
男,0,30,30,0,50000,0,33712.93,72821.5
男,0,31,31,0,50000,0,35794.45,74092.2
男,0,32,32,0,50000,0,37959.5,75385.6
男,0,33,33,0,50000,0,40210.62,76702.4
男,0,34,34,0,50000,0,42551.09,78042.9
男,0,35,35,0,50000,0,44984.09,79407.7
男,0,36,36,0,50000,0,47512.88,80797.3
男,0,37,37,0,50000,0,50140.59,82211.3
男,0,38,38,0,50000,0,52870.95,83649.9
男,0,39,39,0,50000,0,55707.55,85113.8
男,0,40,40,0,50000,0,58654.07,86603.3
男,0,41,41,0,50000,0,61714.05,88118.9
男,0,42,42,0,50000,0,64891.7,89660.9
男,0,43,43,0,50000,0,68191.09,91230
男,0,44,44,0,50000,0,71616.39,92826.5
男,0,45,45,0,50000,0,75171.94,94451
男,0,46,46,0,50000,0,78862.17,96103.9
男,0,47,47,0,50000,0,82691.69,97785.7
男,0,48,48,0,50000,0,86665.58,99496.9
男,0,49,49,0,50000,0,90788.75,101238.1
男,0,50,50,0,50000,0,95065.85,103009.8
男,0,51,51,0,50000,0,99502.46,104812.4
男,0,52,52,0,50000,0,104104.35,106646.6
男,0,53,53,0,50000,0,108876.64,108512.9
男,0,54,54,0,50000,0,113825.46,110411.9
男,0,55,55,0,50000,0,118956.67,112344.1
男,0,56,56,0,50000,0,124276.81,114310.1
男,0,57,57,0,50000,0,129791.65,116310.5
男,0,58,58,0,50000,0,135508.59,118345.9
男,0,59,59,0,50000,0,141433.79,120416.9
男,0,60,60,0,50000,0,147575.11,122524.2
男,0,61,61,0,50000,0,153939.11,124668.3
男,0,62,62,0,50000,0,160533.07,126850
男,0,63,63,0,50000,0,167366.11,129069.8
男,0,64,64,0,50000,0,174444.88,131328.5
男,0,65,65,0,50000,0,181778.5,133626.7
男,0,66,66,0,50000,0,189375.2,135965.1
男,0,67,67,0,50000,0,197244.07,138344.4
男,0,68,68,0,50000,0,205394.47,140765.4
男,0,69,69,0,50000,0,213834.8,143228.7
男,0,70,70,0,50000,0,222575.63,145735.1
男,0,71,71,0,50000,0,231627.19,148285.4
男,0,72,72,0,50000,0,240999.39,150880.2
男,0,73,73,0,50000,0,250702.4,153520.5
男,0,74,74,0,50000,0,260748.81,156206.9
男,0,75,75,0,50000,0,271149.46,158940.4
男,0,76,76,0,50000,0,281915.53,161721.6
男,0,77,77,0,50000,0,293059.25,164551.5
男,0,78,78,0,50000,0,304594.01,167430.9
男,0,79,79,0,50000,0,316532.03,170360.6
男,0,80,80,0,50000,0,328887.51,173341.6
男,0,81,81,0,50000,0,341673.46,176374.7
男,0,82,82,0,50000,0,354904.91,179460.8
男,0,83,83,0,50000,0,368595.67,182600.9
男,0,84,84,0,50000,0,382761.69,185795.8
男,0,85,85,0,50000,0,397419.43,189046.6
男,0,86,86,0,50000,0,412583.11,192354.2
男,0,87,87,0,50000,0,428271.04,195719.6
男,0,88,88,0,50000,0,444499.3,199143.9
男,0,89,89,0,50000,0,461287.31,202627.9
男,0,90,90,0,50000,0,478652.16,206172.8
男,0,91,91,0,50000,0,496613.4,209779.6
男,0,92,92,0,50000,0,515190.19,213449.4
男,0,93,93,0,50000,0,534404.34,217183.3
男,0,94,94,0,50000,0,554274.05,220982.3
男,0,95,95,0,50000,0,574823.47,224847.6
男,0,96,96,0,50000,0,596073.08,228780.4
男,0,97,97,0,50000,0,618046.17,232781.7
男,0,98,98,0,50000,0,640766.79,236852.8
男,0,99,99,0,50000,0,664259.65,240994.9
男,0,100,100,0,50000,0,688549.03,245209.1
男,0,101,101,0,50000,0,713661.12,249496.8
男,0,102,102,0,50000,0,739624.15,253859.2
男,0,103,103,0,50000,0,766464.66,258297.6
男,0,104,104,0,50000,0,794209.93,262813.2
男,0,105,105,0,50000,0,822891.99,267407.4
男,0,106,106,0,50000,0,0,0
男,1,1,2,10000,10000,0,14.65,973.3
男,1,2,3,10000,20000,0,64.34,2514.5
男,1,3,4,10000,30000,0,315.22,9638.1
男,1,4,5,10000,40000,0,869.82,24482.1
男,1,5,6,10000,50000,0,1852.15,47247.3
男,1,6,7,0,50000,0,2572.36,48073.7
男,1,7,8,0,50000,0,3326.81,48914.8
男,1,8,9,0,50000,0,4116.84,49770.7
男,1,9,10,0,50000,0,4943.71,50641.7
男,1,10,11,0,50000,0,5808.87,51527.9
男,1,11,12,0,50000,0,6713.67,52429.6
男,1,12,13,0,50000,0,7659.6,53347.1
男,1,13,14,0,50000,0,8648.19,54280.7
男,1,14,15,0,50000,0,9680.97,55230.6
男,1,15,16,0,50000,0,10759.67,56197.2
男,1,16,17,0,50000,0,11885.83,57180.6
男,1,17,18,0,50000,0,13061.2,58181.3
男,1,18,19,0,50000,0,14287.7,59192.4
男,1,19,20,0,50000,0,15566.88,60221.2
男,1,20,21,0,50000,0,16900.78,61268.2
男,1,21,22,0,50000,0,18291.3,62333.6
男,1,22,23,0,50000,0,19740.5,63417.8
男,1,23,24,0,50000,0,21250.4,64521.2
