性别,投保年龄,保单年度,年龄,年交保费,累计保费,年金,累计红利,现金价值
男,0,1,1,10000,10000,0,19.54,1264
男,0,2,2,10000,20000,0,74.67,3357.3
男,0,3,3,10000,30000,0,352.24,13566.6
男,0,4,4,0,30000,0,845.87,21093
男,0,5,5,0,30000,0,1567.3,28795
男,0,6,6,0,30000,0,2020,29298.7
男,0,7,7,0,30000,0,2493.99,29811.4
男,0,8,8,0,30000,0,2990.11,30333.1
男,0,9,9,0,30000,0,3509.15,30863.9
男,0,10,10,0,30000,0,4051.99,31404
男,0,11,11,0,30000,0,4619.49,31953.6
男,0,12,12,0,30000,0,5212.56,32512.8
男,0,13,13,0,30000,0,5832.15,33081.8
男,0,14,14,0,30000,0,6479.21,33660.7
男,0,15,15,0,30000,0,7154.8,34249.8
男,0,16,16,0,30000,0,7859.9,34849.1
男,0,17,17,0,30000,0,8595.57,35459
男,0,18,18,0,30000,0,9363.02,36079.5
男,0,19,19,0,30000,0,10163.28,36707.1
男,0,20,20,0,30000,0,10997.55,37345.6
男,0,21,21,0,30000,0,11867.01,37995.5
男,0,22,22,0,30000,0,12772.93,38656.8
男,0,23,23,0,30000,0,13716.57,39329.8
男,0,24,24,0,30000,0,14699.48,40014.8
男,0,25,25,0,30000,0,15722.8,40711.8
男,0,26,26,0,30000,0,16788.2,41421.3
男,0,27,27,0,30000,0,17896.98,42143.3
男,0,28,28,0,30000,0,19050.81,42878.2
男,0,29,29,0,30000,0,20251.21,43626.2
男,0,30,30,0,30000,0,21499.95,44387.5
男,0,31,31,0,30000,0,22798.65,45162.5
男,0,32,32,0,30000,0,24149.21,45951.4
男,0,33,33,0,30000,0,25553.22,46754.5
男,0,34,34,0,30000,0,27012.71,47572.1
男,0,35,35,0,30000,0,28529.64,48404.6
男,0,36,36,0,30000,0,30106.04,49251.7
男,0,37,37,0,30000,0,31743.84,50113.6
男,0,38,38,0,30000,0,33445.34,50990.6
男,0,39,39,0,30000,0,35212.78,51882.9
男,0,40,40,0,30000,0,37048.43,52790.8
男,0,41,41,0,30000,0,38954.48,53714.7
男,0,42,42,0,30000,0,40933.55,54654.7
男,0,43,43,0,30000,0,42988.15,55611.1
男,0,44,44,0,30000,0,45120.87,56584.3
男,0,45,45,0,30000,0,47334.4,57574.6
男,0,46,46,0,30000,0,49631.48,58582.1
男,0,47,47,0,30000,0,52014.96,59607.3
男,0,48,48,0,30000,0,54488,60650.4
男,0,49,49,0,30000,0,57053.63,61711.8
男,0,50,50,0,30000,0,59714.73,62791.7
男,0,51,51,0,30000,0,62474.77,63890.6
男,0,52,52,0,30000,0,65337.31,65008.7
男,0,53,53,0,30000,0,68305.53,66146.3
男,0,54,54,0,30000,0,71383.21,67303.9
男,0,55,55,0,30000,0,74574,68481.7
男,0,56,56,0,30000,0,77881.94,69680.1
男,0,57,57,0,30000,0,81310.6,70899.5
男,0,58,58,0,30000,0,84864.58,72140.2
男,0,59,59,0,30000,0,88547.67,73402.6
男,0,60,60,0,30000,0,92364.76,74687.2
男,0,61,61,0,30000,0,96319.9,75994.2
男,0,62,62,0,30000,0,100417.59,77324.1
男,0,63,63,0,30000,0,104663.5,78677.2
男,0,64,64,0,30000,0,109061.74,80054
男,0,65,65,0,30000,0,113617.94,81454.9
男,0,66,66,0,30000,0,118337.22,82880.4
男,0,67,67,0,30000,0,123225.19,84330.7
男,0,68,68,0,30000,0,128287.65,85806.5
男,0,69,69,0,30000,0,133529.81,87308
男,0,70,70,0,30000,0,138958.2,88835.9
男,0,71,71,0,30000,0,144579.18,90390.4
男,0,72,72,0,30000,0,150398.86,91972.2
男,0,73,73,0,30000,0,156423.53,93581.6
男,0,74,74,0,30000,0,162661.01,95219.2
男,0,75,75,0,30000,0,169118.01,96885.4
男,0,76,76,0,30000,0,175801.43,98580.8
男,0,77,77,0,30000,0,182718.86,100305.8
男,0,78,78,0,30000,0,189878.58,102061
男,0,79,79,0,30000,0,197288.16,103846.9
男,0,80,80,0,30000,0,204956.39,105664
男,0,81,81,0,30000,0,212891.31,107512.9
男,0,82,82,0,30000,0,221102.25,109394.1
男,0,83,83,0,30000,0,229597.74,111308.2
男,0,84,84,0,30000,0,238387.66,113255.7
男,0,85,85,0,30000,0,247482.21,115237.3
男,0,86,86,0,30000,0,256890.17,117253.5
